Electricity_Generation,NGAS,ElecPrice,CPI,Month
7812.956,126.482,6.27,127.5,1
7007.047,109.935,6.33,128,2
7309.408,104.646,6.37,128.6,3
6771.43,117.205,6.35,128.9,4
6750.369,117.011,6.46,129.1,5
6759.771,110.8,6.71,129.9,6
7036.44,115.117,6.92,130.5,7
7283.526,113.95,6.89,131.6,8
6618.043,112.926,6.85,132.5,9
6812.406,135.699,6.67,133.4,10
6776.429,133.794,6.46,133.7,11
7546.634,149.131,6.43,134.2,12
8078.661,153.886,6.43,134.7,1
6866.738,127.431,6.53,134.8,2
7144.066,141.487,6.55,134.8,3
6540.724,134.916,6.53,135.1,4
6659.213,133.548,6.63,135.6,5
6702.509,126.558,6.92,136,6
7102.868,127.029,7.1,136.2,7
7117.701,117.613,7.07,136.6,8
6662.225,123.197,7.02,137,9
6862.825,142.242,6.87,137.2,10
7011.114,153.613,6.59,137.8,11
7688.591,162.549,6.57,138.2,12
7988.956,148.203,6.58,138.3,1
7247.705,161.257,6.58,138.6,2
7353.583,157.971,6.6,139.1,3
6845.997,158.392,6.57,139.4,4
6702.403,155.282,6.72,139.7,5
6719.321,144.436,6.99,140.1,6
7164.272,151.348,7.18,140.5,7
7033.411,156.503,7.15,140.8,8
6686.894,147.982,7.14,141.1,9
6906.882,157.194,6.92,141.7,10
7083.547,191.952,6.64,142.1,11
8049.21,190.702,6.66,142.3,12
7915.532,183.409,6.61,142.8,1
7427.575,178.388,6.59,143.1,2
7820.018,188.186,6.59,143.3,3
6910.814,177.379,6.62,143.8,4
6654.004,159.983,6.82,144.2,5
6850.77,171.81,7.13,144.3,6
7316.676,181.889,7.36,144.5,7
7341.037,186.699,7.35,144.8,8
6822.422,184.107,7.32,145,9
6991.604,183.576,7.16,145.6,10
7289.107,200.094,6.75,146,11
8025.864,214.412,6.65,146.3,12
8593.475,229.798,6.65,146.3,1
7749.864,185.763,6.69,146.7,2
7672.318,203.702,6.68,147.1,3
6987.179,202.79,6.67,147.2,4
6894.536,197.67,6.8,147.5,5
7170.472,187.986,7.16,147.9,6
7399.179,210.518,7.36,148.4,7
7481.432,205.078,7.28,149,8
6890.044,195.761,7.24,149.3,9
7079.201,208.822,6.9,149.4,10
7156.597,206.435,6.64,149.8,11
8013.033,227.778,6.63,150.1,12
8229.313,239.7,6.6,150.5,1
7603.159,222.862,6.68,150.9,2
7749.39,235.719,6.66,151.2,3
7113.902,219.606,6.65,151.8,4
7158.829,215.782,6.74,152.1,5
7239.339,201.85,7.1,152.4,6
7633.856,208.1,7.35,152.6,7
7925.88,223.371,7.34,152.9,8
7144.162,216.338,7.08,153.1,9
7233.074,223.752,6.95,153.5,10
7580.697,223.666,6.7,153.7,11
8419.018,256.183,6.64,153.9,12
8783.559,249.429,6.61,154.7,1
8111.049,220.929,6.6,155,2
8199.226,226.408,6.65,155.5,3
7368.822,226.849,6.63,156.1,4
7469.62,243.699,6.77,156.4,5
7452.652,214.448,7.03,156.7,6
7764.83,222.478,7.27,157,7
7876.615,220.822,7.3,157.2,8
7153.578,226.934,7.16,157.7,9
7624.558,235.63,6.91,158.2,10
7802.993,237.828,6.65,158.7,11
8412.993,258.565,6.58,159.1,12
8831.651,266.259,6.62,159.4,1
7794.504,228.102,6.61,159.7,2
7992.521,240.709,6.66,159.8,3
7530.865,224.306,6.59,159.9,4
7484.287,231.636,6.72,159.9,5
7473.252,222.591,7.08,160.2,6
8098.819,225.458,7.25,160.4,7
7917.538,227.05,7.23,160.8,8
7420.015,226.431,7.12,161.2,9
7684.591,239.469,6.9,161.5,10
7757.341,259.04,6.65,161.7,11
8614.963,246.116,6.6,161.8,12
8616.184,269.646,6.57,162,1
7652.792,239.706,6.52,162,2
8177.664,243.544,6.53,162,3
7518.039,240.276,6.51,162.2,4
7582.565,242.217,6.67,162.6,5
7722.523,230.192,6.97,162.8,6
8284.188,255.154,7.21,163.2,7
8233.7,264.246,7.14,163.4,8
7622.257,250.185,6.95,163.5,9
7616.742,253.088,6.69,163.9,10
7513.978,245.538,6.39,164.1,11
8477.089,259.26,6.46,164.4,12
8919.388,298.39,6.42,164.7,1
7816.391,273.478,6.5,164.7,2
8377.726,285.575,6.43,164.8,3
7664.188,258.386,6.4,165.9,4
7630.741,277.466,6.5,166,5
7812.538,268.093,6.83,166,6
8377.75,283.128,7.11,166.7,7
8385.763,299.002,7.08,167.1,8
7618.928,289.562,6.87,167.8,9
7722.724,294.476,6.7,168.1,10
7641.866,286.524,6.39,168.4,11
8680.404,308.01,6.41,168.8,12
8955.636,308.122,6.4,169.3,1
8411.859,279.092,6.39,170,2
8303.32,286.092,6.44,171,3
7678.508,277.001,6.43,170.9,4
8035.101,267.982,6.64,171.2,5
8012.121,279.797,7.06,172.2,6
8239.752,302.739,7.25,172.7,7
8552.42,297.532,7.34,172.7,8
7701.913,284.275,7.11,173.6,9
7770.347,301.457,6.94,173.9,10
7949.187,304.993,6.66,174.2,11
9206.359,348.804,6.85,174.6,12
9235.908,347.531,6.75,175.6,1
8079.537,301.408,6.87,176,2
8482.19,325.982,7.01,176.1,3
7647.441,294.936,7.02,176.4,4
7637.838,292.897,7.17,177.3,5
7661.305,292.86,7.58,177.7,6
8153.538,333.352,7.87,177.4,7
8312.785,324.373,7.84,177.4,8
7409.745,281.347,7.62,178.1,9
7726.908,291.662,7.43,177.6,10
7553.599,249.204,7.02,177.5,11
8268.881,268.109,7.03,177.4,12
8800.585,308.989,6.95,177.7,1
7865.227,275.534,6.97,178,2
8369.233,294.456,6.95,178.5,3
7766.784,275.922,6.95,179.3,4
7809.119,279.945,7.11,179.5,5
7898.541,273.063,7.45,179.6,6
8434.813,299.608,7.68,180,7
8354.48,309.501,7.58,180.5,8
7669.513,289.031,7.36,180.8,9
7811.138,301.318,7.2,181.2,10
8022.47,275.955,6.94,181.5,11
8841.584,315.908,6.96,181.8,12
9241.591,300.719,7,182.6,1
8438.335,252.411,7.05,183.6,2
8389.685,272.514,7.16,183.9,3
7674.462,265.823,7.27,183.2,4
7669.816,276.638,7.42,182.9,5
7648.234,254.955,7.78,183.1,6
8278.265,291.825,8.02,183.7,7
8398.405,280.666,7.97,184.5,8
7613.089,267.339,7.61,185.1,9
7789.587,268.691,7.39,184.9,10
7842.581,244.854,7.19,185,11
8933.464,287.392,7.14,185.5,12
9358.111,306.172,7.22,186.3,1
8740.869,276.125,7.25,186.7,2
8437.923,258.01,7.3,187.1,3
7800.141,263.189,7.34,187.4,4
7973.838,265.573,7.46,188.2,5
7989.125,277.707,7.93,188.9,6
8413.158,307.62,8.11,189.1,7
8361.834,292.753,8.18,189.2,8
7837.848,270.181,7.97,189.8,9
7956.08,274.359,7.6,190.8,10
8057.562,282.254,7.42,191.7,11
9163.219,330.479,7.36,191.7,12
9295.272,313.621,7.47,191.6,1
8290.855,266.919,7.58,192.4,2
8733.946,283.43,7.59,193.1,3
7721.769,270.61,7.65,193.7,4
7946.152,275.053,7.84,193.6,5
8179.558,266.903,8.38,193.7,6
8589.191,331.045,8.6,194.9,7
8695.844,299.818,8.71,196.1,8
7794.537,302.083,8.68,198.8,9
7788.641,325.28,8.37,199.1,10
7946.624,314.423,8.21,198.1,11
9205.344,363.249,8.21,198.1,12
8822.709,304.716,8.31,199.3,1
8197.741,262.279,8.49,199.4,2
8592.653,278.859,8.44,199.7,3
7717.443,287.067,8.56,200.7,4
7964.309,287.977,8.71,201.3,5
8153.131,282.387,9.3,201.8,6
8639.98,312.05,9.55,202.9,7
8738.87,310.233,9.58,203.8,8
7792.916,280.931,9.32,202.8,9
8027.436,275.111,8.89,201.9,10
8036.055,269.43,8.63,202,11
8801.262,311.281,8.55,203.1,12
9227.681,323.919,8.71,203.437,1
8759.426,316.335,8.74,204.226,2
8564.663,324.744,8.8,205.288,3
7926.197,336.101,8.82,205.904,4
8024.023,317.735,8.96,206.755,5
8100.407,324.161,9.45,207.234,6
8493.656,347.916,9.64,207.603,7
8823.085,364.664,9.68,207.667,8
7943.615,296.306,9.43,208.547,9
7974.794,283.649,9.17,209.19,10
8084.944,254.149,8.94,210.834,11
9092.283,295.449,8.91,211.445,12
9422.275,280.349,8.92,212.174,1
8660.843,250.286,8.9,212.687,2
8596.912,266.459,9.03,213.448,3
7843.809,247.779,9.22,213.942,4
7902.876,228.172,9.47,215.208,5
8048.513,225.217,10.27,217.463,6
8423.809,259.465,10.65,219.016,7
8223.427,261.506,10.59,218.69,8
7357.861,258.538,10.27,218.877,9
7790.581,254.485,9.94,216.995,10
7815.646,229.821,9.67,213.153,11
8804.238,258.761,9.53,211.398,12
9136.102,243.76,9.68,211.933,1
7880.436,218.326,9.78,212.705,2
8056.744,221.466,9.64,212.495,3
7348.09,241.832,9.57,212.709,4
7294.417,188.72,9.77,213.022,5
7544.103,215.711,10.13,214.79,6
7822.883,240.443,10.28,214.726,7
7970.721,258.093,10.27,215.445,8
7278.94,223.24,10.09,215.861,9
7481,195.032,9.7,216.509,10
7456.174,198.026,9.34,217.234,11
8848.049,234.354,9.4,217.347,12
9124.758,291.015,9.28,217.488,1
8207.161,236.304,9.47,217.281,2
8195.424,219.195,9.48,217.353,3
7364.063,222.526,9.53,217.403,4
7670.706,212.076,9.72,217.29,5
8002.287,192.22,10.18,217.199,6
8374.322,242.803,10.46,217.605,7
8438.006,220.737,10.4,217.923,8
7688.283,202.043,10.17,218.275,9
7499.805,198.769,9.81,219.035,10
7789.531,149.628,9.55,219.59,11
9225.293,216.652,9.52,220.472,12
9291.339,236.198,9.48,221.187,1
8101.343,186.139,9.56,221.898,2
8335.33,171.048,9.55,223.046,3
7495.314,151.563,9.54,224.093,4
7575.588,139.455,9.78,224.806,5
7890.059,147.147,10.26,224.806,6
8381.171,180.197,10.47,225.395,7
8405.054,168.88,10.49,226.106,8
7559.291,125.102,10.29,226.597,9
7575.272,172.646,9.83,226.75,10
7786.689,121.309,9.58,227.169,11
8578.973,163.359,9.53,227.223,12
8676.11,150.667,9.61,227.842,1
7965.368,139.731,9.58,228.329,2
7679.819,123.987,9.52,228.807,3
7221.157,119.868,9.47,229.187,4
7614.094,126.044,9.64,228.713,5
7736.029,134.592,10.13,228.524,6
8295.964,162.799,10.3,228.59,7
8233.428,142.102,10.32,229.918,8
7371.738,120.616,10.26,231.015,9
7575.325,113.472,9.74,231.638,10
7769.608,91.555,9.58,231.249,11
8396.157,93.528,9.64,231.221,12
8988.401,123.636,9.64,231.679,1
8020.815,103.872,9.77,232.937,2
8387.769,99.747,9.71,232.282,3
7528.027,94.838,9.66,231.797,4
7625.115,92.112,9.92,231.893,5
7730.265,102.883,10.45,232.445,6
8279.107,107.587,10.69,232.9,7
8178.169,105.924,10.58,233.456,8
7647.533,121.459,10.43,233.544,9
7730.353,98.024,10.02,233.669,10
8139.922,105.011,9.79,234.1,11
9085.101,155.851,9.86,234.719,12
9597.902,160.549,10.12,235.347,1
8435.439,106.873,10.33,235.522,2
8533.267,84.681,10.28,235.956,3
7564.171,78.741,10,236.463,4
7655.396,92.552,10.21,236.867,5
7787.712,81.791,10.75,237.188,6
8240.471,73.875,11.03,237.485,7
8222.526,91.178,10.91,237.439,8
7662.671,81.731,10.83,237.452,9
7773.479,105.789,10.34,237.447,10
8208.656,106.623,10.13,237.042,11
8810.883,116.754,10.12,236.27,12
9294.098,134.875,10.18,234.836,1
8613.765,109.275,10.36,235.274,2
8436.564,93.307,10.29,235.956,3
7472.443,74.792,10.01,236.165,4
7653.599,70.074,10.21,236.952,5
7910.881,68.093,10.64,237.618,6
8439.549,73.153,10.95,237.993,7
8323.327,68.991,10.85,237.989,8
7695.857,46.245,10.79,237.467,9
7626.781,67.768,10.31,237.764,10
7685.652,62.503,10.05,238.072,11
8380.452,65.503,9.98,237.827,12
9064.747,105.079,9.97,237.99,1
8238.339,89.019,10,237.532,2
7993.344,45.849,10,238.022,3
7458.67,63.464,9.83,238.843,4
7595.301,60.043,10.06,239.439,5
7945.746,58.872,10.52,240.074,6
8485.003,76.339,10.7,240.058,7
8552.815,47.757,10.81,240.569,8
7761.489,36.505,10.68,241.017,9
7663.817,54.983,10.15,241.667,10
7729.067,3.125,10.1,242.081,11
9094.987,29.955,10.09,242.784,12
8975.508,19.795,10.16,244.028,1
7632.909,-0.349,10.31,244.102,2
8514.688,8.724,10.33,243.717,3
7468.957,-8.973,10.1,244.087,4
7824.725,-9.737,10.37,243.911,5
7984.672,-13.517,10.87,244.032,6
8439.478,2.08,11.02,244.236,7
8352.151,0.889,10.98,245.262,8
7645.227,-20.647,10.93,246.392,9
7838.899,-37.374,10.48,246.583,10
8135.882,-45.852,10.38,247.411,11
